ED,,Nathan D. McMurray - DEM,,Nathan D. McMurray - WOR,,Chris Jacos - REP,,Chris Jacos - CON,,Chris Jacos - IND,,Duane J. Whitmer - LBT,,Write-in
City of Canandaigua Ward 1 1,,335,,19,,232,,30,,4,,1,,0
City of Canandaigua Ward 1 2,,452,,32,,231,,33,,6,,5,,0
City of Canandaigua Ward 2 1,,129,,27,,116,,23,,1,,7,,0
City of Canandaigua Ward 2 2,,309,,24,,226,,33,,9,,17,,0
City of Canandaigua Ward 3 1,,321,,32,,201,,20,,10,,11,,1
City of Canandaigua Ward 3 2,,343,,24,,239,,32,,11,,7,,0
City of Canandaigua Ward 4 1,,330,,27,,221,,36,,7,,8,,1
City of Canandaigua Ward 4 2,,447,,32,,257,,47,,9,,4,,0
Town of Bristol 1,,168,,9,,258,,43,,4,,6,,0
Town of Bristol 2,,309,,14,,418,,52,,10,,10,,0
Town of Canadice 1,,192,,15,,270,,40,,4,,8,,0
Town of Canadice 2,,165,,13,,216,,45,,5,,3,,0
Town of Canandaigua 1,,244,,18,,273,,40,,5,,8,,0
Town of Canandaigua 2,,424,,25,,427,,68,,8,,17,,0
Town of Canandaigua 3,,666,,57,,595,,107,,19,,13,,0
Town of Canandaigua 4,,428,,13,,414,,66,,14,,5,,0
Town of Canandaigua 5,,534,,31,,492,,68,,13,,6,,0
Town of Canandaigua 6,,231,,15,,235,,31,,2,,3,,0
Town of Canandaigua 7,,236,,23,,326,,54,,4,,13,,0
Town of East Bloomfield 1,,221,,21,,370,,57,,6,,4,,1
Town of East Bloomfield 2,,258,,25,,348,,37,,7,,6,,0
Town of East Bloomfield 3,,257,,25,,297,,46,,4,,7,,0
Town of Farmington 1,,255,,23,,449,,68,,7,,7,,0
Town of Farmington 2,,319,,25,,365,,60,,3,,15,,0
Town of Farmington 3,,405,,38,,352,,48,,6,,15,,0
Town of Farmington 4,,335,,20,,347,,46,,11,,11,,0
Town of Farmington 5,,188,,15,,162,,24,,6,,5,,0
Town of Farmington 6,,495,,32,,513,,61,,13,,18,,0
Town of Farmington 7,,387,,22,,391,,44,,11,,12,,0
Town of Farmington 8,,287,,33,,228,,20,,7,,11,,0
Town of Farmington 9,,202,,16,,199,,35,,6,,7,,0
Town of Farmington 10,,74,,6,,172,,19,,3,,1,,0
Town of Naples 2,,238,,18,,291,,54,,5,,10,,0
Town of Richmond 1,,208,,17,,270,,25,,11,,7,,0
Town of Richmond 2,,206,,20,,299,,51,,7,,6,,0
Town of Richmond 3,,235,,32,,415,,70,,7,,13,,0
Town of South Bristol 1,,277,,7,,203,,29,,4,,5,,0
Town of South Bristol 2,,258,,25,,271,,47,,6,,1,,0
Town of Victor 1,,336,,16,,384,,48,,8,,3,,0
Town of Victor 2,,365,,19,,496,,53,,6,,4,,0
Town of Victor 3,,330,,16,,310,,53,,6,,6,,0
Town of Victor 4,,267,,28,,222,,49,,6,,7,,0
Town of Victor 5,,526,,24,,514,,59,,7,,15,,0
Town of Victor 6,,327,,22,,387,,68,,7,,15,,0
Town of Victor 7,,461,,22,,326,,46,,6,,9,,0
Town of Victor 8,,423,,25,,318,,44,,8,,8,,1
Town of Victor 9,,346,,19,,412,,39,,10,,9,,0
Town of Victor 10,,389,,28,,380,,48,,5,,8,,1
Town of Victor 11,,196,,8,,248,,30,,4,,1,,0
Town of Victor 12,,320,,30,,282,,45,,10,,10,,2
Town of West Bloomfield 1,,273,,29,,390,,55,,8,,12,,0
Town of West Bloomfield 2,,235,,19,,314,,58,,8,,3,,0
Multi-ED Collection,,138,,15,,147,,24,,2,,7,,0
Total,,"16,300",,"1,190",,"16,719",,"2,428",,376,,430,,7
